index,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,ref,bridge,width,service,tunnel,junction,access,est_width,u,v,key
38,"[497905723, 775719029]",False,,Jana Dekerta,residential,50,235.697,"LINESTRING (426182.5620582454 5544762.347655484, 426181.1593069337 5544752.536614177, 426177.2061508762 5544738.479426564, 426175.6775428931 5544733.040423661, 426164.0327855739 5544700.729674108, 426143.2226451752 5544635.75152937, 426140.5563180806 5544627.78167961, 426140.9471700462 5544621.860254145, 426143.3658234805 5544618.11266697, 426151.4597113355 5544612.585330382, 426169.844235893 5544601.93407543, 426136.5899694407 5544575.437314601, 426128.1130180474 5544568.782050394)",,,,,,,,,316801040,316801008,0
375,"[497905722, 505106975]",False,"['3', '2']",Jana Dekerta,residential,30,268.52500000000003,"LINESTRING (426008.1075204039 5544305.152977875, 426015.4594584793 5544314.303457282, 426021.7864294333 5544325.458660951, 426028.1076136307 5544339.305078129, 426049.5742514078 5544395.132796846, 426070.6925727008 5544448.585652444, 426078.1279824277 5544466.909354154, 426081.6722442043 5544476.735266009, 426097.8598971567 5544514.899128434, 426107.8712067697 5544538.280414131, 426114.5002841804 5544551.121842729)",,,,,,,,,275431785,316801000,0
376, 827819461,False,2,Jana Dekerta,residential,30,30.801000000000002,"LINESTRING (426008.1075204039 5544305.152977875, 425996.7351711293 5544295.780100474, 425983.7140690406 5544286.285487941)",,,,,,,,,275431785,355571656,0
5754,827819461,False,2,Jana Dekerta,residential,30,30.801000000000002,"LINESTRING (425983.7140690406 5544286.285487941, 425996.7351711293 5544295.780100474, 426008.1075204039 5544305.152977875)",,,,,,,,,355571656,275431785,0
5755,"[827819460, 827819461]",False,2,Jana Dekerta,residential,30,115.01799999999999,"LINESTRING (425983.7140690406 5544286.285487941, 425940.1976192396 5544259.965214827, 425904.1660813788 5544236.377328726, 425886.3308793388 5544224.703297211)",,,,,,,,,355571656,593883608,0
6152,"[28814947, 827819460]",False,2,Jana Dekerta,residential,30,212.498,"LINESTRING (425697.0545397872 5544133.817011999, 425709.1033506353 5544137.174879824, 425735.4694154104 5544143.258713366, 425749.1372229387 5544146.660923816, 425773.1487599808 5544152.343917967, 425786.7659115738 5544158.29348985, 425801.3916735548 5544166.230775907, 425813.0182849264 5544173.753745212, 425825.7912937932 5544182.873300923, 425877.9220508966 5544218.892616682, 425886.3308793388 5544224.703297211)",,,,,,,,,243784020,593883608,0
12147,"[827819460, 827819461]",False,2,Jana Dekerta,residential,30,115.018,"LINESTRING (425886.3308793388 5544224.703297211, 425904.1660813788 5544236.377328726, 425940.1976192396 5544259.965214827, 425983.7140690406 5544286.285487941)",,,,,,,,,593883608,355571656,0
12148,"[28814947, 827819460]",False,2,Jana Dekerta,residential,30,212.498,"LINESTRING (425886.3308793388 5544224.703297211, 425877.9220508966 5544218.892616682, 425825.7912937932 5544182.873300923, 425813.0182849264 5544173.753745212, 425801.3916735548 5544166.230775907, 425786.7659115738 5544158.29348985, 425773.1487599808 5544152.343917967, 425749.1372229387 5544146.660923816, 425735.4694154104 5544143.258713366, 425709.1033506353 5544137.174879824, 425697.0545397872 5544133.817011999)",,,,,,,,,593883608,243784020,0
15741,"[497905722, 505106975]",False,"['3', '2']",Jana Dekerta,residential,30,268.525,"LINESTRING (426114.5002841804 5544551.121842729, 426107.8712067697 5544538.280414131, 426097.8598971567 5544514.899128434, 426081.6722442043 5544476.735266009, 426078.1279824277 5544466.909354154, 426070.6925727008 5544448.585652444, 426049.5742514078 5544395.132796846, 426028.1076136307 5544339.305078129, 426021.7864294333 5544325.458660951, 426015.4594584793 5544314.303457282, 426008.1075204039 5544305.152977875)",,,,,,,,,316801000,275431785,0
15742,497905723,False,,Jana Dekerta,residential,50,22.277,"LINESTRING (426114.5002841804 5544551.121842729, 426119.8154971421 5544558.009789551, 426122.0904828346 5544560.969752323, 426128.1130180474 5544568.782050394)",,,,,,,,,316801000,316801008,0
15751,"[497905723, 775719029]",False,,Jana Dekerta,residential,50,235.69699999999997,"LINESTRING (426128.1130180474 5544568.782050394, 426136.5899694407 5544575.437314601, 426169.844235893 5544601.93407543, 426151.4597113355 5544612.585330382, 426143.3658234805 5544618.11266697, 426140.9471700462 5544621.860254145, 426140.5563180806 5544627.78167961, 426143.2226451752 5544635.75152937, 426164.0327855739 5544700.729674108, 426175.6775428931 5544733.040423661, 426177.2061508762 5544738.479426564, 426181.1593069337 5544752.536614177, 426182.5620582454 5544762.347655484)",,,,,,,,,316801008,316801040,0
15752,497905723,False,,Jana Dekerta,residential,50,22.277,"LINESTRING (426128.1130180474 5544568.782050394, 426122.0904828346 5544560.969752323, 426119.8154971421 5544558.009789551, 426114.5002841804 5544551.121842729)",,,,,,,,,316801008,316801000,0

