,osmid
0,497905723
1,497905723
2,775719029
3,775719029
4,775719029
5,775719029
6,775719029
7,775719029
8,48429704
9,48429704
10,48429704
11,48429704
12,26380680
13,26380680
14,48429704
15,54871859
16,775719029
17,54871859
18,54871859
19,54871859
20,54871859
21,54871859
22,225017399
23,71956524
24,216570791
25,40870369
26,40870369
27,360844311
28,28816891
29,225030043
30,197218029
31,788425543
32,225017402
33,24195796
34,24195796
35,31763785
36,31763785
37,237024639
38,237024639
39,237024638
40,237024638
41,237024640
42,237024640
43,31764756
44,31764773
45,237024640
46,31764756
47,31764756
48,31764756
49,229225607
50,229225607
51,229225609
52,229225609
53,144982143
54,145988947
55,229225609
56,159333425
57,159333425
58,80763282
59,80736877
60,146196597
61,54415038
62,54415038
63,31763785
64,132173581
65,145988886
66,23257854
67,23257854
68,671114906
69,671114906
70,19803701
71,330623980
72,625764071
73,216943997
74,216943997
75,179246547
76,116688055
77,81118533
78,81118533
79,47944091
80,47944091
81,25181099
82,25181099
83,101322354
84,126106951
85,155050397
86,21896370
87,255471343
88,377114759
89,377114761
90,19846842
91,19846842
92,24790075
93,377114759
94,219054670
95,219054670
96,25042175
97,25042175
98,471256293
99,253438079
100,776727227
101,549206216
102,723794491
103,159333425
104,159333425
105,29131670
106,225017396
107,225017396
108,225017396
109,225017396
110,225030046
111,225030046
112,163998745
113,163998745
114,31766445
115,163998745
116,163998745
117,82964328
118,82964328
119,163998745
120,163998745
121,177077711
122,177077711
123,82964328
124,82964328
125,225030043
126,225030040
127,163998745
128,225030036
129,225030038
130,225030033
131,177077707
132,177077707
133,177077711
134,177077711
135,40719990
136,40719990
137,80244233
138,193442193
139,219054670
140,219054670
141,177077711
142,177077711
143,81125099
144,81125099
145,137276128
146,93153505
147,177077711
148,177077711
149,80257841
150,177077711
151,177077711
152,137276128
153,280266637
154,280266637
155,93153503
156,128209964
157,193442193
158,29318662
159,29318662
160,153920537
161,153920537
162,376064318
163,404983744
164,135422561
165,135422561
166,376064321
167,546411763
168,376064322
169,209180317
170,209180317
171,55981709
172,55981709
173,232686867
174,232686867
175,93153503
176,93153505
177,29318662
178,29318662
179,82803928
180,209180317
181,209180317
182,177077711
183,177077711
184,93153505
185,177077711
186,177077711
187,545673437
188,25148932
189,778189185
190,200654866
191,200654867
192,760611737
193,376064319
194,376064320
195,24821153
196,24821153
197,85224435
198,140575501
199,140575501
200,24215577
201,831145416
202,93153503
203,376064322
204,465744583
205,177077711
206,177077711
207,224857563
208,219054389
209,219054389
210,93153503
211,25438979
212,331914376
213,331914376
214,331914375
215,331914377
216,331914377
217,331914377
218,763232075
219,175716100
220,219054389
221,219054389
222,159333425
223,159333425
224,83075381
225,358621085
226,358621085
227,553132800
228,553132800
229,224682939
230,553132801
231,80907278
232,80907278
233,80907278
234,80907278
235,25994860
236,25994860
237,148469647
238,332700933
239,332700933
240,26466626
241,216608613
242,292689657
243,759741602
244,759741602
245,352628259
246,553075700
247,220475096
248,220475096
249,661259155
250,661261067
251,24377006
252,24377006
253,217138561
254,25994860
255,25994860
256,148073473
257,40764841
258,40764841
259,589159597
260,45835157
261,45835157
262,232477744
263,232477744
264,25994860
265,25994860
266,29260092
267,29260092
268,505486277
269,505486277
270,720665839
271,720665839
272,720665841
273,720665841
274,29260552
275,546738393
276,720665841
277,29260092
278,29260092
279,217138559
280,553075705
281,145142410
282,145142410
283,148469697
284,148469697
285,25994860
286,25994860
287,37636665
288,37636665
289,544614778
290,163858120
291,163858120
292,26542320
293,26542317
294,279021117
295,26393801
296,26393801
297,163858120
298,163858120
299,25994860
300,25994860
301,29751208
302,29751208
303,332700932
304,332700932
305,172920757
306,172920757
307,25994860
308,25994860
309,26393801
310,26393801
311,4685488
312,4685488
313,26393801
314,26393801
315,24346225
316,24346225
317,25994866
318,25994866
319,148073474
320,24346225
321,24346225
322,24346225
323,24346225
324,148469695
325,148469695
326,24346225
327,24346225
328,24346225
329,24346225
330,172920757
331,172920757
332,24346225
333,24346225
334,148073475
335,148073475
336,475556395
337,828600687
338,29312105
339,77697372
340,77697372
341,148469694
342,148469695
343,148469637
344,218323996
345,216863599
346,216863599
347,24346225
348,24346225
349,217197479
350,80576570
351,80576570
352,315052765
353,315052765
354,26393801
355,26393801
356,645084112
357,645084112
358,102303027
359,102303027
360,370445394
361,370445394
362,148469636
363,148469636
364,576403940
365,576403940
366,153920537
367,153920537
368,24345736
369,172920757
370,172920757
371,163858120
372,163858120
373,163858120
374,163858120
375,163858120
376,163858120
377,163858120
378,163858120
379,282987821
380,282987821
381,282987821
382,282987821
383,172920757
384,172920757
385,216879847
386,216879847
387,552844883
388,233435681
389,233435681
390,260028416
391,260028416
392,218324012
393,24392150
394,24392150
395,24804188
396,206880050
397,456689171
398,24392151
399,24392151
400,260028416
401,260028416
402,260028416
403,260028416
404,260028416
405,260028416
406,260028416
407,260028416
408,260028416
409,260028416
410,24346225
411,24346225
412,260028416
413,260028416
414,260028416
415,260028416
416,260028416
417,260028416
418,260028416
419,260028416
420,218656271
421,218656271
422,24346225
423,24346225
424,260028416
425,260028416
426,260028416
427,260028416
428,260028416
429,260028416
430,260028416
431,260028416
432,260028416
433,260028416
434,62068209
435,62068209
436,24346225
437,24346225
438,260028416
439,260028416
440,260028416
441,260028416
442,260028416
443,260028416
444,260028416
445,260028416
446,260028416
447,260028416
448,62068209
449,62068209
450,24804189
451,24804189
452,370498224
453,260028416
454,260028416
455,62068209
456,62068209
457,370498224
458,370498224
459,370498224
460,370498224
461,508909313
462,370498224
463,370498224
464,370498224
465,370498224
466,370498224
467,370498224
468,82456698
469,82456698
470,722269688
471,837277106
472,722269688
473,722269688
474,639965689
475,639965689
476,62068212
477,62068212
478,837277106
479,837277106
480,370498224
481,370498224
482,62068212
483,62068212
484,370498224
485,31767102
486,31767102
487,370498224
488,370498224
489,140588128
490,140588128
491,370498224
492,370498224
493,370498224
494,370498224
495,370498224
496,74390197
497,74390197
498,370498224
499,370498224
500,370498224
501,370498224
502,370498224
503,159333425
504,159333425
505,370498224
506,370498224
507,154078451
508,154078451
509,154078451
510,154078451
511,80728473
512,80728473
513,154078451
514,154078451
515,209256298
516,209256298
517,787062521
518,787062521
519,74390197
520,74390197
521,607034430
522,112320161
523,447731271
524,607034430
525,26343931
526,26343931
527,265610869
528,265610869
529,265610869
530,265610869
531,265610869
532,265610869
533,265610869
534,265610869
535,26343931
536,26343932
537,26343933
538,26343934
539,54051804
540,54051804
541,209256298
542,209256298
543,26343932
544,26343932
545,22690463
546,22690463
547,93263283
548,26343932
549,26343932
550,22690463
551,27121505
552,78164494
553,78164494
554,26343932
555,26343932
556,26343935
557,27121505
558,27121505
559,27121505
560,27121505
561,27121505
562,27121505
563,27121505
564,27121505
565,27121505
566,27121505
567,26343932
568,26343932
569,26343932
570,26343932
571,27121505
572,27121505
573,26343932
574,26343932
575,26343932
576,26343932
577,26343932
578,26343933
579,26343933
580,31765159
581,31765159
582,26343933
583,26343933
584,54569766
585,54569766
586,50288002
587,50288002
588,50288002
589,50288002
590,26536635
591,26536635
592,50288002
593,50288002
594,50288002
595,50288002
596,26536637
597,253670423
598,50288002
599,413094499
600,62068209
601,62068209
602,26535543
603,26535543
604,162843071
605,162843071
606,533570560
607,26535543
608,26535543
609,26535543
610,62068209
611,62068209
612,454742450
613,62068209
614,62068209
615,42813775
616,162843071
617,377498990
618,377498990
619,262614153
620,262614153
621,504141810
622,504141810
623,62068209
624,378869530
625,504141810
626,504141810
627,377498990
628,377498990
629,224904420
630,224904420
631,224904417
632,224904417
633,224904420
634,224904420
635,224904417
636,224904420
637,172179626
638,263987885
639,224904417
640,224904420
641,224904420
642,224904417
643,224904417
644,224904420
645,26536637
646,253691072
647,26536637
648,26536637
649,253691072
650,253691072
651,224904417
652,80576566
653,80576574
654,742251553
655,50288002
656,725697197
657,224904417
658,233435681
659,233435681
660,224904417
661,332916674
662,339129514
663,339129514
664,332916669
665,332916669
666,29752385
667,29752385
668,76633473
669,224904420
670,29752385
671,29752385
672,29752386
673,120344631
674,120344631
675,262614153
676,262614153
677,504141810
678,504141810
679,93949132
680,760611737
681,120344631
682,120344631
683,110237272
684,110237272
685,504141810
686,504141810
687,25757038
688,80662908
689,80662908
690,25757027
691,25757036
692,25757036
693,19846842
694,19846842
695,25757027
696,31764464
697,31764464
698,58377531
699,29597533
700,29597533
701,110237272
702,29597533
703,29597533
704,19803498
705,173539741
706,161375308
707,216548855
708,169142377
709,169142377
710,377498990
711,377498990
712,173292450
713,173292450
714,169142377
715,169142377
716,166834821
717,177842511
718,82206934
719,169866708
720,240393199
721,169142377
722,22810309
723,169012972
724,169012972
725,169012972
726,235673004
727,104505133
728,104505133
729,262614153
730,262614153
731,104505133
732,104505133
733,279021131
734,279021131
735,104505133
736,104505133
737,104505133
738,504163054
739,504163054
740,504163054
741,504163054
742,504163054
743,504163054
744,504163054
745,512750677
746,166290311
747,166290311
748,217505582
749,279021131
750,279021131
751,377498990
752,377498990
753,26294241
754,217505968
755,253860445
756,504141810
757,504141810
758,59291701
759,314334469
760,216231365
761,504141810
762,504141810
763,217505581
764,300178285
765,300178285
766,300178285
767,300178285
768,300178285
769,300178285
770,300178285
771,300178285
772,262614153
773,262614153
774,300178285
775,300178285
776,300178285
777,300178285
778,300178285
779,300178285
780,300178285
781,300178285
782,234878375
783,718232041
784,262614153
785,262614153
786,504141810
787,504141810
788,370302444
789,370302444
790,377498990
791,377498990
792,262614153
793,262614153
794,262614153
795,262614153
796,31765183
797,31765183
798,359671118
799,504141810
800,31765183
801,31765183
802,159333425
803,377498990
804,377498990
805,262614153
806,262614153
807,504141810
808,504141810
809,377498990
810,377498990
811,504141810
812,504141810
813,377498990
814,26264800
815,376730061
816,26264800
817,26264800
818,648495596
819,648495596
820,262614153
821,262614153
822,109373135
823,109373135
824,123768446
825,123768446
826,109373135
827,109373135
828,25757036
829,25757036
830,154350011
831,109373135
832,109373135
833,109373135
834,109373135
835,109373135
836,109373135
837,123768446
838,123768446
839,109373135
840,109373135
841,123768446
