,group,intersection_density_km,street_density_km,buildings_density,natural_terrain_density,pubs_dist_to_nearest,education_buildings_dist_to_nearest,entertainment_buildings_dist_to_nearest,shops_dist_to_nearest,office_dist_to_nearest,pubs_share,education_buildings_share,entertainment_buildings_share,shops_share,office_share,average_dist_to_any_public_transport_stop,mode_dist_to_any_public_transport_stop,cycleways_to_highways,all_railways_to_highway,avg_dist_from_building_to_center,average_dist_to_park,average_dist_to_greenland,average_street_length,circuity_avg,one_way_percentage,share_of_separated_streets,streets_in_radius_of_100_m,avg_dist_between_crossroads,circuity,avg_distance_to_5_buildings,distance_between_buildings,buildings_density_in_2km_radius,avg_building_area,network_orientation,circuity_between_crossroads,streets_per_node_avg,buildings_uniformity,share_of_buildings_near_center,traffic_lights_share,trunk_percentage,primary_percentage,secondary_percentage,tertiary_percentage
"Bochum, Germany",0,30.580987319496693,6623.068413320761,0.112674353669042,0.25222379190399113,165.76146541122205,334.2044259320717,705.741530711631,75.77542567683216,157.7288260142897,0.007024208867154346,0.002214767813118862,0.0005658165945924098,0.019318595158226568,0.005545002627005618,173.65378988728733,120.0,0.1831667825535072,0.5408833119720892,4673.881884927489,463.5544104931109,142.40914254028962,128.13414524227957,1.0712734861635191,0.4016141866545413,0.11185631465272253,14.96328293736501,163.2855357249456,1.2909268149257382,19.795254031664808,11.017378097646796,0.27833898606090585,134.50136511777143,0.23464677032727746,1.082619872913676,2.7764255910987483,0.52012946832424,0.11115060834720224,0.0038860276236955156,0.01102648630214846,0.11958622257587816,0.16221439126975104,0.1575537114925543
"Duisburg, Germany",0,25.793759999031376,5681.749688646805,0.09342093205854944,0.13189434376985099,266.19999699122644,434.7616905210002,1086.9178510787435,131.56829198923435,555.6759414637792,0.004761422348292979,0.0016832524177271414,0.00038964176336276425,0.009530637531853214,0.0011845109606228035,202.49616390131072,140.0,0.2032433639258636,0.9530072570292312,6319.213804404529,598.3184318601135,291.0536925576721,130.47927170481444,1.0490853496044146,0.3686614892645043,0.11888990406578348,12.99954317039744,155.6106663444895,1.371890428966808,21.91028775368532,11.988406074145114,0.2786767810808469,171.4911965260651,0.16983476159927216,1.0626335912933027,2.8272702027214662,0.4633114930356528,0.11941763454932112,0.0031278599851244327,0.010392873458200093,0.03894472361809045,0.22293284604842395,0.14310187300137048
"Oberhausen, Germany",0,30.360467455345244,6918.229957238636,0.10889133142311484,0.14167200902826774,223.01626329438358,369.64387867776884,1048.7673720483756,119.02878076699312,492.1700391523099,0.005370367203133285,0.0021891942738887274,0.00027364928423609093,0.010826249807590348,0.0009919786553558296,163.18777170525792,150.0,0.18556888630830196,0.6500693915562744,4512.462829435758,498.4735700814493,237.043336583802,136.82204301075228,1.054662773256855,0.2997852925389157,0.12399355877616748,11.209071390230813,160.2379168936562,1.35215579917983,21.526025909776603,11.747387374228026,0.2771737349848034,144.13871315332406,0.12509914775132247,1.0668301770811508,2.8109942314217853,0.534906295778237,0.2057033440470492,0.002540501790516689,0.0,0.054482018250134184,0.202361782071927,0.12318840579710146
"Gelsenkirchen, Germany",0,26.026328575590803,5972.722600817329,0.10370344478354357,0.18116773415388504,273.6202569386,337.93371470499335,1179.594424600944,120.44980227413437,466.60737114206086,0.0037458511142721674,0.0021337126600284497,0.0002963489805595069,0.009246088193456615,0.000817923186344239,169.73379116252738,140.0,0.2633780008693357,0.5065317444774141,5202.66130486169,534.8362885305212,287.0562483563104,134.08791419341784,1.0508808482452932,0.3944547996272134,0.12861136999068035,12.306849953401676,162.59952952589867,1.24253507719901,19.277482463675852,10.76146762113943,0.2721092344341183,130.44622884008677,0.3381886560281202,1.0628411437325842,2.8527309122104665,0.4927474291683946,0.17189702763857792,0.002530891168899591,0.0,0.1353681267474371,0.18988816402609507,0.12488350419384905
"Hagen, Germany",0,14.082637641891878,3635.5249043196022,0.05834163681097429,0.21075772764396525,231.79853970160102,559.7607088610907,1045.0704161430085,82.3633014537495,434.6704588322731,0.007474897731498699,0.0019709929341762736,0.00039047973224246935,0.019988843436221645,0.0022685013015991073,160.02330364434607,100.0,0.11944497350214993,0.7029196915457844,3972.1322777616224,770.1551285076354,218.40504653726197,150.78782966147205,1.070629307825676,0.2487517022242397,0.14207898320472084,12.357921016795279,177.84844522337937,1.3910147902527543,25.39894680108738,13.979002115835517,0.26451904078316,176.01086869681518,0.16423521015683454,1.0804825865283314,2.6400991852639035,0.4187471525571817,0.26241754157762703,0.003517486997708299,0.0024965955515206537,0.14389468906037226,0.13254652746255108,0.12369496141625055
"Hamm, Germany",0,9.428160202280203,2706.933683334458,0.046552225762502585,0.17491002641186992,346.2927056794004,696.1030187740075,727.4011451763098,125.43024619564464,373.7712777899137,0.004129236911549558,0.0011622024419924253,0.00045120800689117685,0.013426856447488958,0.00198258063634002,173.85908721829242,120.0,0.42577857513037903,0.7231104561563548,4073.408848132069,1042.4546977182586,268.263545534454,165.84704404291344,1.0610108250176926,0.112186646810623,0.2253660958054108,9.111442045172499,189.8759481093449,1.288511672431588,23.889145001914862,12.504204793504455,0.21764573699742346,144.86864578166276,0.2795452339985585,1.0683346259101727,2.532904148783977,0.3836622773073258,0.2712374079085852,0.0010646892842069524,0.0,0.05137751303052867,0.2593695706130553,0.16654256639364606
"Herne, Germany",0,36.50234598956815,7721.547321770581,0.12138533227471045,0.21733421054407584,260.90274585068056,378.90053374453277,1224.7553506870868,133.0777045401415,344.3911015330884,0.004688853779114215,0.00231894398858366,0.0004332093165485959,0.011976963457520005,0.002217012384689873,160.0711838170094,140.0,0.17435884309459587,0.7591517708888514,2993.1134395833533,500.3722323850978,192.86996004105413,124.23728857406833,1.0593362861112292,0.3631010794896958,0.11252862283284264,13.744193653909061,152.8514557750261,1.2599775165952838,23.012629282991423,12.883168221028422,0.2434666888718444,161.62391446392633,0.2582525833000581,1.0739076180209863,2.7877620881471974,0.5744521453540531,0.1500012731393069,0.0041106454052791215,0.0,0.03271180896303565,0.2008505070330389,0.11350997710173373
"Witten, Germany",0,16.56531924195778,4377.4004332961185,0.06952181263226599,0.2203255949409408,221.8352781556192,511.84509736424894,465.69368475514364,79.64415781182554,148.09059007500656,0.006066052572455628,0.001697496193115155,0.002096907062083427,0.02543747971741681,0.010085124441448864,207.26197661422108,130.0,0.14356958125567398,0.4090486272622725,3112.3334311147096,1425.110403996255,228.9059796744829,155.16850653447491,1.0684491802271532,0.2294882209585703,0.17506092607636067,10.929325751421606,188.68756514366154,1.4166888416638792,22.107501388212704,11.789649046460614,0.2633219301075533,126.48640240311916,0.2564747674944665,1.0786534938645609,2.580738177623991,0.4661670208334181,0.16496594396347394,0.0026666599226038198,0.0,0.054833468724614136,0.20064987814784727,0.0950446791226645
"Bergkamen, Germany",0,16.668050786163562,3953.6050304140913,0.05786215135549992,0.210612677786554,398.88789800976036,696.2193559197677,2900.776116756385,168.48290861932284,1102.3303607283942,0.002158894645941278,0.0009499136442141623,0.0002158894645941278,0.007037996545768565,0.00017271157167530224,184.44878221218426,140.0,0.3807564623108924,0.34351884847779346,2152.0744558580027,743.5865097943024,291.36790847948487,137.22630715532293,1.0489647807079596,0.06899902818270165,0.21671525753158405,8.521865889212828,164.01688558806524,1.2905966043029957,20.05475583966604,10.78862280599494,0.1542649820356642,112.26655553926099,0.4098206353757177,1.0612237566416938,2.4801288936627284,0.4091106391572136,0.2849125836391107,0.0007177760179816963,0.0,0.05053449951409135,0.2332361516034985,0.08357628765792031
"Hattingen, Germany",0,13.824853100505385,3804.962642504645,0.04237140022855145,0.22922643923434785,319.2576993847365,652.3000857467667,891.7200192158185,98.38646771356292,190.89479925934742,0.009533898305084745,0.0023678963110667995,0.0009346959122632103,0.02417746759720837,0.005919740777666999,277.229064239501,130.0,0.1659137727554491,0.20619638784034164,2553.02536305691,996.9042485061076,178.23043432062167,160.81050906648753,1.1019901378889738,0.20796719390743995,0.1827768014059754,12.249560632688928,200.31613533622803,1.6478454462674796,32.84065420073002,17.15198141705617,0.2344375882783507,188.99112172188396,0.1734376566959007,1.1115822905660817,2.528174936921783,0.4368538558845146,0.28470060998381674,0.001346276797663523,0.0,0.11657879320445225,0.1259519625073228,0.13649677797305212
"Herten, Germany",0,21.134108391158886,4724.383803579848,0.08615951199498606,0.22990551156425826,377.7796976578666,598.19149927066,781.4990739703336,152.0958403394539,749.3663372123617,0.0029847229313121,0.0011781801044653025,0.0005105447119349645,0.006911989946196442,0.0006283627223814947,170.08067172989382,110.0,0.4154691800059876,0.2913193053874423,2345.6568243284405,782.3245064991588,279.57187188469044,132.80603985239884,1.0590683068221598,0.14431082331174838,0.19518963922294166,9.818686401480113,150.56658076185875,1.2640466487851747,19.98248993411468,11.126526193570816,0.16260796317758816,126.34424723250041,0.41314111975513146,1.0681144050302385,2.6902654867256643,0.4703027952540372,0.13241704300019635,0.001379165241604932,0.012025901942645698,0.03145235892691952,0.2765957446808511,0.07770582793709528
